fecha_factura;proveedor;concepto;importe;moneda
09/04/2025;Proveedor G;Consultoría TI;360.91;dolares
28/04/2025;Proveedor E;Desarrollo web;544.16;euros
07/04/2025;Proveedor F;Compra de software;70.62;dolares
03/04/2025;Proveedor H;Desarrollo web;699.58;dolares
15/04/2025;Proveedor J;Compra de software;748.48;dolares
22/04/2025;Proveedor C;Desarrollo web;989.63;euros
22/04/2025;Proveedor E;Desarrollo web;555.07;dolares
19/04/2025;Proveedor E;Compra de software;283.65;dolares
23/04/2025;Proveedor E;Consultoría TI;603.66;dolares
07/04/2025;Proveedor A;Servicio de hosting;671.29;dolares
