fecha_factura;proveedor;concepto;importe;moneda
08/08/2025;Proveedor A;Mantenimiento de equipos;954.78;dolares
17/08/2025;Proveedor F;Consultoría TI;716.62;dolares
23/08/2025;Proveedor E;Desarrollo web;161.47;dolares
02/08/2025;Proveedor E;Mantenimiento de equipos;373.2;dolares
24/08/2025;Proveedor I;Mantenimiento de equipos;44.37;dolares
01/08/2025;Proveedor E;Compra de software;637.49;euros
21/08/2025;Proveedor B;Compra de software;559.59;dolares
24/08/2025;Proveedor G;Mantenimiento de equipos;831.33;euros
08/08/2025;Proveedor J;Consultoría TI;835.02;dolares
01/08/2025;Proveedor J;Desarrollo web;757.79;dolares
