fecha_factura;proveedor;concepto;importe;moneda
31/12/2025;Proveedor F;Desarrollo web;744.37;dolares
23/12/2025;Proveedor H;Servicio de hosting;892.42;dolares
17/12/2025;Proveedor C;Desarrollo web;183.51;dolares
16/12/2025;Proveedor H;Servicio de hosting;841.51;euros
14/12/2025;Proveedor J;Compra de software;853.11;euros
25/12/2025;Proveedor E;Mantenimiento de equipos;669.48;euros
19/12/2025;Proveedor H;Desarrollo web;771.02;dolares
16/12/2025;Proveedor J;Desarrollo web;497.03;euros
29/12/2025;Proveedor E;Mantenimiento de equipos;980.62;euros
20/12/2025;Proveedor G;Desarrollo web;600.09;dolares
