fecha_factura;proveedor;concepto;importe;moneda
17/02/2025;Proveedor B;Desarrollo web;673.09;dolares
23/02/2025;Proveedor H;Compra de software;939.36;euros
07/02/2025;Proveedor D;Mantenimiento de equipos;610.27;euros
17/02/2025;Proveedor C;Consultoría TI;625.81;dolares
11/02/2025;Proveedor E;Mantenimiento de equipos;883.6;euros
21/02/2025;Proveedor I;Compra de software;817.89;euros
26/02/2025;Proveedor E;Desarrollo web;210.28;euros
05/02/2025;Proveedor C;Compra de software;673.82;euros
26/02/2025;Proveedor J;Mantenimiento de equipos;54.83;euros
27/02/2025;Proveedor J;Compra de software;309.51;dolares
