fecha_factura;proveedor;concepto;importe;moneda
11/07/2025;Proveedor B;Consultoría TI;463.16;dolares
19/07/2025;Proveedor A;Desarrollo web;723.75;dolares
15/07/2025;Proveedor I;Desarrollo web;338.23;dolares
27/07/2025;Proveedor F;Desarrollo web;92.65;dolares
18/07/2025;Proveedor G;Desarrollo web;356.73;dolares
22/07/2025;Proveedor A;Consultoría TI;260.36;euros
28/07/2025;Proveedor A;Desarrollo web;421.7;euros
03/07/2025;Proveedor H;Compra de software;14.99;dolares
24/07/2025;Proveedor H;Servicio de hosting;193.49;euros
09/07/2025;Proveedor I;Mantenimiento de equipos;72.36;dolares
