fecha_factura;proveedor;concepto;importe;moneda
18/06/2025;Proveedor J;Compra de software;34.71;dolares
08/06/2025;Proveedor G;Desarrollo web;191.25;euros
26/06/2025;Proveedor C;Compra de software;84.79;euros
28/06/2025;Proveedor F;Mantenimiento de equipos;101.57;euros
10/06/2025;Proveedor H;Compra de software;855.91;euros
22/06/2025;Proveedor F;Desarrollo web;607.93;dolares
17/06/2025;Proveedor J;Servicio de hosting;967.36;dolares
25/06/2025;Proveedor C;Mantenimiento de equipos;253.68;euros
20/06/2025;Proveedor F;Mantenimiento de equipos;955.11;dolares
30/06/2025;Proveedor F;Consultoría TI;44.93;euros
