fecha_factura;proveedor;concepto;importe;moneda
29/11/2025;Proveedor D;Compra de software;112.18;dolares
11/11/2025;Proveedor E;Servicio de hosting;174.88;dolares
09/11/2025;Proveedor D;Compra de software;944.52;dolares
25/11/2025;Proveedor E;Mantenimiento de equipos;774.94;dolares
13/11/2025;Proveedor D;Desarrollo web;507.88;dolares
06/11/2025;Proveedor D;Mantenimiento de equipos;941.63;euros
07/11/2025;Proveedor B;Servicio de hosting;142.27;euros
07/11/2025;Proveedor E;Desarrollo web;177.72;dolares
09/11/2025;Proveedor A;Desarrollo web;533.59;euros
01/11/2025;Proveedor H;Consultoría TI;81.48;euros
