fecha_factura;proveedor;concepto;importe;moneda
17/10/2025;Proveedor I;Mantenimiento de equipos;201.67;dolares
05/10/2025;Proveedor I;Desarrollo web;137.16;dolares
23/10/2025;Proveedor D;Consultoría TI;543.24;euros
10/10/2025;Proveedor E;Mantenimiento de equipos;267.06;dolares
19/10/2025;Proveedor H;Servicio de hosting;771.99;euros
20/10/2025;Proveedor C;Desarrollo web;818.8;euros
04/10/2025;Proveedor F;Compra de software;753.07;euros
05/10/2025;Proveedor J;Consultoría TI;421.03;euros
06/10/2025;Proveedor D;Compra de software;857.1;euros
24/10/2025;Proveedor B;Desarrollo web;594.78;euros
